trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
244,False,"{'a': 0.5, 'e': 0.08609689350726446}",25,14,20.23464340854378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08523592457219181}",20,13,1.6105011987916114,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.0843835653264699}",30,12,31.960875139932632,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.0835397296732052}",30,11,15.72601934773514,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.08270433237647315}",20,9,8.817782646458728,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08187728905270841}",25,14,16.91923398023961,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08105851616218133}",20,11,18.728658416868257,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08024793100055952}",35,24,16.617329768095598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.07944545169055392}",30,15,-3.180600642208656,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07865099717364837}",20,16,8.086857183282259,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07786448720191189}",25,15,19.74457245340997,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.07708584232989277}",25,14,7.7208073732534315,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07631498390659384}",20,6,20.1503316299919,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07555183406752791}",25,10,15.600193831904825,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
